Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
セレッソ大阪,7.0,14.0,6.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,5.0,7.0,8.0,7.0,7.0,9.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,12.0,10.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,2024
チーム ╲ 節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
ヴィッセル神戸,2.0,8.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2024
京都サンガF.C.,9.0,16.0,11.0,14.0,13.0,16.0,17.0,18.0,19.0,17.0,17.0,18.0,19.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0,17.0,16.0,18.0,16.0,15.0,15.0,15.0,14.0,15.0,17.0,15.0,13.0,14.0,14.0,14.0,2024
北海道コンサドーレ札幌,13.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,19.0,20.0,20.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,2024
名古屋グランパス,20.0,20.0,20.0,18.0,12.0,8.0,10.0,8.0,5.0,6.0,8.0,7.0,10.0,7.0,5.0,5.0,7.0,9.0,9.0,10.0,11.0,12.0,11.0,12.0,13.0,12.0,14.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,11.0,13.0,11.0,2024
川崎フロンターレ,4.0,9.0,14.0,15.0,10.0,13.0,15.0,16.0,16.0,16.0,16.0,15.0,12.0,13.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,12.0,10.0,13.0,14.0,14.0,14.0,15.0,11.0,10.0,10.0,11.0,13.0,11.0,8.0,2024
東京ヴェルディ,15.0,16.0,18.0,19.0,17.0,15.0,16.0,15.0,15.0,15.0,14.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,13.0,12.0,10.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,2024
柏レイソル,9.0,3.0,2.0,8.0,9.0,7.0,9.0,7.0,8.0,11.0,13.0,14.0,14.0,12.0,10.0,11.0,12.0,12.0,13.0,14.0,13.0,11.0,13.0,13.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,16.0,17.0,17.0,17.0,16.0,17.0,2024
横浜F・マリノス,4.0,11.0,13.0,9.0,11.0,14.0,4.0,5.0,7.0,7.0,7.0,11.0,13.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,11.0,9.0,9.0,6.0,6.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,9.0,7.0,9.0,2024
浦和レッズ,18.0,18.0,12.0,12.0,8.0,9.0,6.0,11.0,12.0,10.0,12.0,9.0,6.0,4.0,6.0,6.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,10.0,13.0,12.0,10.0,11.0,13.0,13.0,12.0,14.0,10.0,12.0,13.0,2024
湘南ベルマーレ,15.0,10.0,10.0,11.0,14.0,18.0,18.0,17.0,18.0,19.0,20.0,17.0,17.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,19.0,19.0,18.0,16.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,14.0,12.0,15.0,15.0,15.0,2024
鹿島アントラーズ,1.0,1.0,8.0,4.0,4.0,5.0,8.0,6.0,9.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2024
FC東京,5.0,10.0,8.0,8.0,10.0,12.0,15.0,16.0,18.0,17.0,18.0,16.0,16.0,16.0,16.0,15.0,16.0,17.0,18.0,17.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,11.0,11.0,11.0,11.0,11.0,2025
FC町田ゼルビア,13.0,9.0,12.0,8.0,5.0,2.0,2.0,2.0,1.0,7.0,11.0,11.0,7.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,2025
